"id","title","price_gbp","rating","availability","category","image_url","detail_url"
1,"It's Only the Himalayas",45.17,2,"In stock","Travel","http://books.toscrape.com/../media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg","http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html"
2,"Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond",49.43,4,"In stock","Travel","http://books.toscrape.com/../media/cache/57/77/57770cac1628f4407636635f4b85e88c.jpg","http://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html"
3,"See America: A Celebration of Our National Parks & Treasured Sites",48.87,3,"In stock","Travel","http://books.toscrape.com/../media/cache/9a/7e/9a7e63f12829df4b43b31d110bf3dc2e.jpg","http://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html"
4,"Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel",36.94,2,"In stock","Travel","http://books.toscrape.com/../media/cache/d5/bf/d5bf0090470b0b8ea46d9c166f7895aa.jpg","http://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html"
5,"Under the Tuscan Sun",37.33,3,"In stock","Travel","http://books.toscrape.com/../media/cache/98/c2/98c2e95c5fd1a4e7cd5f2b63c52826cb.jpg","http://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html"
6,"A Summer In Europe",44.34,2,"In stock","Travel","http://books.toscrape.com/../media/cache/4e/15/4e15150388702ebca2c5a523ac270539.jpg","http://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html"
7,"The Great Railway Bazaar",30.54,1,"In stock","Travel","http://books.toscrape.com/../media/cache/76/de/76de41867f323d7f1f4fbe2fdfc1b2ba.jpg","http://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html"
8,"A Year in Provence (Provence #1)",56.88,4,"In stock","Travel","http://books.toscrape.com/../media/cache/db/46/db46159b05faa5d95262112bf9c29ddd.jpg","http://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html"
9,"The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2)",23.21,1,"In stock","Travel","http://books.toscrape.com/../media/cache/e0/4f/e04f8eda2a2fa947aec17640202d9ab0.jpg","http://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html"
10,"Neither Here nor There: Travels in Europe",38.95,3,"In stock","Travel","http://books.toscrape.com/../media/cache/06/81/0681530a7bc301caf5c3257e1b0f0750.jpg","http://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html"
11,"1,000 Places to See Before You Die",26.08,5,"In stock","Travel","http://books.toscrape.com/../media/cache/d7/0f/d70f7edd92705c45a82118c3ff6c299d.jpg","http://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html"
12,"Sharp Objects",47.82,4,"In stock","Mystery","http://books.toscrape.com/../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg","http://books.toscrape.com/catalogue/sharp-objects_997/index.html"
13,"In a Dark, Dark Wood",19.63,1,"In stock","Mystery","http://books.toscrape.com/../media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg","http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html"
14,"The Past Never Ends",56.5,4,"In stock","Mystery","http://books.toscrape.com/../media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg","http://books.toscrape.com/catalogue/the-past-never-ends_942/index.html"
15,"A Murder in Time",16.64,1,"In stock","Mystery","http://books.toscrape.com/../media/cache/11/aa/11aaad48b5f15e262456ca65294084da.jpg","http://books.toscrape.com/catalogue/a-murder-in-time_877/index.html"
16,"The Murder of Roger Ackroyd (Hercule Poirot #4)",44.1,4,"In stock","Mystery","http://books.toscrape.com/../media/cache/29/fe/29fe70b1b2e5a9ba61d4bd331255e19e.jpg","http://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html"
17,"The Last Mile (Amos Decker #2)",54.21,2,"In stock","Mystery","http://books.toscrape.com/../media/cache/37/f1/37f118b4a56d866e1e8b563759d6966c.jpg","http://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html"
18,"That Darkness (Gardiner and Renner #1)",13.92,1,"In stock","Mystery","http://books.toscrape.com/../media/cache/44/9e/449ed681142bc336646abee754e96639.jpg","http://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html"
19,"Tastes Like Fear (DI Marnie Rome #3)",10.69,1,"In stock","Mystery","http://books.toscrape.com/../media/cache/3c/91/3c91d97266bd6dda322089695fb46daf.jpg","http://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html"
20,"A Time of Torment (Charlie Parker #14)",48.35,5,"In stock","Mystery","http://books.toscrape.com/../media/cache/e8/c0/e8c0ba15066bab950ae161fd60949b9a.jpg","http://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html"
21,"A Study in Scarlet (Sherlock Holmes #1)",16.73,2,"In stock","Mystery","http://books.toscrape.com/../media/cache/8f/a4/8fa41d6caa10e427356b8a590eb4d96b.jpg","http://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html"
22,"Poisonous (Max Revere Novels #3)",26.8,3,"In stock","Mystery","http://books.toscrape.com/../media/cache/23/52/2352718971d5e166fa9541a5a7d716fa.jpg","http://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html"
23,"Murder at the 42nd Street Library (Raymond Ambler #1)",54.36,4,"In stock","Mystery","http://books.toscrape.com/../media/cache/c3/8d/c38d65cd155b67ca025f0655bd1bb095.jpg","http://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html"
24,"Most Wanted",35.28,3,"In stock","Mystery","http://books.toscrape.com/../media/cache/8b/bc/8bbc5ab4c3784b4d9b93eb0fd1fb6fd6.jpg","http://books.toscrape.com/catalogue/most-wanted_623/index.html"
25,"Hide Away (Eve Duncan #20)",11.84,1,"In stock","Mystery","http://books.toscrape.com/../media/cache/57/07/5707c3d5d4fd44d943d51730ba7d429a.jpg","http://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html"
26,"Boar Island (Anna Pigeon #19)",59.48,3,"In stock","Mystery","http://books.toscrape.com/../media/cache/d5/81/d58157866ea8f015a8e4c55b23b8c96f.jpg","http://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html"
27,"The Widow",27.26,2,"In stock","Mystery","http://books.toscrape.com/../media/cache/fd/71/fd71fb07247bf911505a351c0670c6dc.jpg","http://books.toscrape.com/catalogue/the-widow_609/index.html"
28,"Playing with Fire",13.71,3,"In stock","Mystery","http://books.toscrape.com/../media/cache/90/0b/900bd2e60d56b6480a4e8eb2dddb46d6.jpg","http://books.toscrape.com/catalogue/playing-with-fire_602/index.html"
29,"What Happened on Beale Street (Secrets of the South Mysteries #2)",25.37,5,"In stock","Mystery","http://books.toscrape.com/../media/cache/c7/ab/c7abb5e32bd37118a87523dcee0a70a6.jpg","http://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html"
30,"The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1)",52.3,5,"In stock","Mystery","http://books.toscrape.com/../media/cache/95/d7/95d7541679fcbd579b8a4f2b47231aaf.jpg","http://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html"
31,"Delivering the Truth (Quaker Midwife Mystery #1)",20.89,4,"In stock","Mystery","http://books.toscrape.com/../media/cache/57/31/5731a5d46c2c1e88977eb5e6d1337a2e.jpg","http://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html"
32,"The Mysterious Affair at Styles (Hercule Poirot #1)",24.8,4,"In stock","Mystery","http://books.toscrape.com/../media/cache/32/94/3294e5eaf73a37958583483fc9a90f04.jpg","http://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html"
